Grado,Area,Pregunta,ImagenPregunta,Opcion1,ImagenOpcion1,Opcion2,ImagenOpcion2,Opcion3,ImagenOpcion3,Opcion4,ImagenOpcion4,Respuesta
3°,Lenguaje,"Completa los versos con las palabras que riman: Anita la araña viajaba en _____ usando un vestido de puro _____",img/araña.webp,"barco, oro",,"moto, hilo",,"avión, algodón",,"bicicleta, retazo",,"avión, algodón"
3°,Lenguaje,"Completa los versos con las palabras que riman: Naranja dulce, limón _____ dame un abrazo que yo te _____",img/limon.webp,"partido, pido",,"acido, canto",,"carro, barco",,"manzana, aguacate",,"partido, pido"
3°,Lenguaje,"Elige la frase escrita en discurso directo.",img/plan_ratones.webp,"“Cierto día los ratones se reunieron para idear un plan”",,"“– Esto tiene que terminar. ¿Alguien tiene algún plan?”",,"“Celebraron con aplausos el nuevo plan”",,"“Estaban hartos de vivir huyendo”",,"“– Esto tiene que terminar. ¿Alguien tiene algún plan?”"
3°,Lenguaje,"Selecciona la oración que está escrita correctamente.",img/gato_juega.webp,"el gato juega en el patio.",,"El gato juega en el patio.",,"El Gato Juega En El Patio.",,"EL GATO JUEGA EN EL PATIO.",,"El gato juega en el patio."
3°,Lenguaje,"¿Cuál de estas palabras es una onomatopeya?",,Perro,,Miau,,Gato,,Pez,,Miau
3°,Lenguaje,"¿Cuál de estas palabras está escrita correctamente?",img/vacaciones.webp,Vacasión,,Vacación,,Vacasion,,Vacasióm,,Vacación
3°,Lenguaje,"¿Cuál de las siguientes palabras es un adjetivo?",,Correr,,Mesa,,Bonito,,Río,,Bonito
3°,Lenguaje,"¿Cuál era el plan de los ratones para saber siempre dónde está el gato?",img/plan_ratones.webp,Hacer guardia para vigilar por turnos,,Poner una cámara de vigilancia,,Amarrarle un cascabel al cuello,,Poner trampas para gatos,,Amarrarle un cascabel al cuello
3°,Lenguaje,"¿Cuál es el antónimo de “grande”?",,Pequeño,,Alto,,Ancho,,Largo,,Pequeño
3°,Lenguaje,"¿Cuál es el antónimo de “triste”?",img/tristeza.webp,Alegre,,Hambriento,,Cansado,,Aburrido,,Alegre
3°,Lenguaje,"¿Cuál es el diminutivo de “flor”?",img/flor.webp,florcita,,floresta,,florero,,florón,,florcita
3°,Lenguaje,"¿Cuál es el plural de “lápiz”?",img/lapices.webp,Lápices,,Lápizes,,Lápizs,,Lápizces,,Lápices
3°,Lenguaje,"¿Cuál es el sinónimo de “ayudar”?",img/ayudar.webp,Abandonar,,Apoyar,,Olvidar,,Quitar,,Apoyar
3°,Lenguaje,"¿Cuál es el sinónimo de “caminar”?",img/caminar.webp,Dormir,,Andar,,Saltar,,Correr,,Andar
3°,Lenguaje,"¿Cuál es el sinónimo de “feliz”?",,Contento,,Triste,,Enojado,,Cansado,,Contento
3°,Lenguaje,"¿En qué material puedes encontrar información sobre cómo nacen las mariposas?",img/mariposa.webp,En un libro de cuentos,,En un libro de poesía.,,En un libro informativo.,,En el periódico.,,En un libro informativo.
3°,Lenguaje,"¿Qué palabra completa la comparación? “El carro era tan rápido como un ___”",img/carro_rayo.webp,rayo,,libro,,árbol,,lago,,rayo
3°,Lenguaje,"¿Qué podrías encontrar en un libro llamado El príncipe valiente?",img/principe.webp,Una receta de cocina.,,Un cuento.,,Una noticia.,,Un instructivo.,,Un cuento.
3°,Lenguaje,"¿Qué señal de puntuación se usa para indicar una pausa breve?",,El punto,,La coma,,Los dos puntos,,El guion,,La coma
3°,Lenguaje,"¿Qué signo falta al final de esta oración? “¿Vendrás mañana”",,?,,! ,,.,,; ,,?
3°,Lenguaje,"¿Qué tipo de palabra es “rápidamente”?",img/rapido.webp,Un sustantivo,,Un adjetivo,,Un adverbio,,Un verbo,,Un adverbio
3°,Lenguaje,"¿Qué tipo de texto es la lectura El plan de los ratones?",img/plan_ratones.webp,Un poema,,Una fábula,,Una leyenda,,Una noticia,,Una fábula
3°,Lenguaje,"¿Qué tipo de texto es un instructivo?",img/instruccion.webp,Narrativo,,Explicativo,,Poético,,Descriptivo,,Explicativo
3°,Lenguaje,"¿Qué tipo de texto te explica paso a paso cómo hacer algo?",img/instructivo.webp,Un cuento,,Un instructivo,,Una fábula,,Una noticia,,Un instructivo
3°,Lenguaje,¿Cuál es la moraleja de la lectura anterior?,img/plan_ratones.webp,No celebrar antes de tiempo y planear bien nuestras metas.,,Debemos festejar nuestros planes antes de llevarlos a cabo.,,Hay que poner trampas para ratones.,,No hay que tener gatos en casa.,,No celebrar antes de tiempo y planear bien nuestras metas.
3°,Matemáticas,"Si hay 5 charolas iguales, Cuántas galletas hay en total?",img/galletas.webp,10,,5,,50,,15,,50
3°,Matemáticas,"Si hay 7 canastas iguales, Cuántos melones hay en total?",img/melones_canasta.webp,7,,14,,4,,28,,28
3°,Matemáticas,"Si hay 10 racimos iguales, Cuántos plátanos hay en total?",img/platanos.webp,50,,10,,5,,20,,50
3°,Matemáticas,"¿Cuál es el siguiente número en la secuencia? 2, 4, 6, 8, __?",,10,,12,,14,,16,,10
3°,Matemáticas,Don Matías tiene 3 nietos y compró dos naranjas para cada uno.¿Cuánto pagó?,img/mercado.webp,6,,12,,18,,36,,36
3°,Matemáticas,Miguel tiene 40 pesos y quiere comprar 4 piñas.¿Cuánto le falta?,img/mercado.webp,8,,12,,40,,4,,8
3°,Matemáticas,Qué hora es en este reloj?,img/reloj1.webp,05:15,,05:30,,03:50,,05:03,,05:15
3°,Matemáticas,Qué hora es en este reloj?,img/reloj2.webp,09:01,,01:09,,12:45,,12:09,,12:45
3°,Matemáticas,Qué hora es en este reloj?,img/reloj3.webp,09:12,,12:09,,12:45,,09:00,,09:00
3°,Matemáticas,Si José compró 2 naranjas 1 sandías y 2 piñas. ¿Cuánto pagó en total? ,img/mercado.webp,43,,24,,41,,19,,43
3°,Matemáticas,Si compro 3 sandías y cada una cuesta 7 pesos.¿Cuánto pagué en total?,img/mercado.webp,21,,30,,60,,15,,21
3°,Matemáticas,Si en una caja hay 6 manzanas y tengo 4 cajas.¿Cuántas manzanas tengo en total?,img/manzanas.webp,24,,12,,20,,30,,24
3°,Matemáticas,Sofía compró 10 sandías y pagó con un billete de $100 pesos.¿Cuánto le sobró?,img/mercado.webp,30,,50,,20,,10,,30
3°,Matemáticas,¿Cuál es el número mayor que se puede formar con estos dígitos?,img/numeros.webp,960,,906,,690,,609,,960
3°,Matemáticas,¿Cuál es el número menor que se puede formar con estos dígitos?,img/numeros.webp,069,,096,,609,,690,,069
3°,Matemáticas,¿Cuál es el objeto que puede medirse en metros?,,Camión,img/metros_camion.webp,TV,img/metros_tv.webp,Serrucho,img/metros_serrucho.webp,Patineta,img/metros_patineta.webp,Camión
3°,Matemáticas,¿Cuál pieza falta en el jarrón?,img/jarron.webp,Pieza a,img/jarron_a.webp,Pieza b,img/jarron_b.webp,Pieza c,img/jarron_c.webp,Pieza d,img/jarron_d.webp,Pieza b
3°,Matemáticas,¿Cuántas aristas hay en esta imagen?,img/aristas_vertices.webp,5,,6,,7,,4,,6
3°,Matemáticas,¿Cuánto es 25 más 75?,,90,,100,,80,,110,,100
3°,Matemáticas,¿Cuánto es 100 menos 50?,,150,,40,,60,,50,,50
3°,Matemáticas,¿Cuánto es el doble de 60?,,120,,100,,110,,130,,120
3°,Matemáticas,¿Cuánto es la mitad de 90?,,45,,40,,50,,30,,45
3°,Matemáticas,¿Cuánto gastarías si compras un par de zapatos y pantalones?,img/productos.webp,47,,29,,18,,45,,47
3°,Matemáticas,¿Cuánto gastarías si compras una camisa y una cachucha?,img/productos.webp,9,,5,,14,,18,,14
3°,Matemáticas,¿Cuánto le falta a 25 para 100?,,75,,50,,25,,85,,75
3°,Matemáticas,¿Cuántos vértices tiene este objeto?,img/aristas_vertices.webp,5,,6,,7,,4,,4
4°,Inglés,"Selecciona la oración correcta en Inglés.",img/school.webp,I go to school.,,I goes to school.,,I go school.,,I going to school.,,I go to school.
4°,Inglés,"Selecciona la respuesta correcta para “Where is the cat?”",img/catonchair.webp,The cat is on the chair.,,The cat are on the chair.,,The cat is in blue.,,The cat under chair.,,The cat is on the chair.
4°,Inglés,"Selecciona la traducción correcta de “I like apples”",img/apples.webp,Me gustan las manzanas,,Quiero una manzana,,Tengo una manzana,,No me gustan las manzanas,,Me gustan las manzanas
4°,Inglés,"¿Cuál es el plural correcto de “cat”?",img/cats.webp,Cats,,Cates,,Catts,,Cat´s,,Cats
4°,Inglés,"¿Cuál es la palabra en Inglés para “agua”?",img/water.webp,Water,,Milk,,Juice,,Tea,,Water
4°,Inglés,"¿Cuál es la palabra en Inglés para “correr”?",img/run.webp,Run,,Jump,,Walk,,Sit,,Run
4°,Inglés,"¿Cuál es la palabra en Inglés para “desayuno”?",img/breakfast.webp,Breakfast,,Lunch,,Dinner,,Snack,,Breakfast
4°,Inglés,"¿Cuál es la palabra en Inglés para “doctor”?",img/doctor.webp,Doctor,,Nurse,,Teacher,,Pilot,,Doctor
4°,Inglés,"¿Cuál es la palabra en Inglés para “mano”?",img/hand.webp,Hand,,Head,,Leg,,Foot,,Hand
4°,Inglés,"¿Cuál es la palabra en Inglés para “ventana”?",img/window.webp,Window,,Door,,Roof,,Wall,,Window
4°,Inglés,"¿Cuál es la palabra en Inglés para “árbol”?",img/tree.webp,Tree,,Flower,,House,,Leaf,,Tree
4°,Inglés,"¿Cuál es la respuesta correcta a: “What is your favorite color?”",img/colors.webp,My favorite color is blue.,,I am blue.,,It is morning.,,I like school.,,My favorite color is blue.
4°,Inglés,"¿Cuál es la traducción correcta de “I can swim”?",img/swim.webp,Puedo nadar,,Quiero nadar,,Voy a nadar,,Necesito nadar,,Puedo nadar
4°,Inglés,"¿Cuál es la traducción correcta de “They are happy”?",img/happy2.webp,Ellos están felices,,Ellos son altos,,Ellos están enfermos,,Ellos son lentos,,Ellos están felices
4°,Inglés,"¿Cuál es la traducción de “I have a dog”?",img/dog2.webp,Tengo un perro,,Veo un perro,,Quiero un perro,,Soy un perro,,Tengo un perro
4°,Inglés,"¿Cuál es la traducción de “Open your book”?",img/openbook.webp,Abre tu libro,,Cierra tu libro,,Lee tu cuaderno,,Escribe tu nombre,,Abre tu libro
4°,Inglés,"¿Cuál es la traducción de “She is my sister”?",img/sister.webp,Ella es mi hermana,,Ella es mi mamá,,Ella es mi amiga,,Ella es mi profesora,,Ella es mi hermana
4°,Inglés,"¿Cómo se dice “amiga” en Inglés?",img/friend.webp,Friend,,Teacher,,Sister,,Mom,,Friend
4°,Inglés,"¿Cómo se dice “cantar” en Inglés?",img/sing.webp,Sing,,Jump,,Walk,,Write,,Sing
4°,Inglés,"¿Cómo se dice “carro” en Inglés?",img/car.webp,Car,,Bike,,Bus,,Truck,,Car
4°,Inglés,"¿Cómo se dice “escuchar” en Inglés?",img/listen.webp,Listen,,Speak,,Read,,Write,,Listen
4°,Inglés,"¿Cómo se dice “libreta” o “cuaderno” en Inglés?",img/notebook2.webp,Notebook,,Book,,Paper,,Folder,,Notebook
4°,Inglés,"¿Cómo se dice “pájaro” en Inglés?",img/bird.webp,Bird,,Dog,,Cat,,Fish,,Bird
4°,Inglés,"¿Qué significa “green”?",img/green.webp,Verde,,Rojo,,Azul,,Café,,Verde
4°,Inglés,"¿Qué significa “red”?",img/red.webp,Rojo,,Azul,,Negro,,Amarillo,,Rojo
4°,Lenguaje,"Cuál es el adverbio presente en la siguiente frase: La niña bebía rápidamente, porque tenía mucha sed",,tenía,,bebía,,rápidamente,,La niña,,rápidamente
4°,Lenguaje,"En el cuento de Caperucita Roja, ¿qué adjetivos describen correctamente al Lobo?",img/lobo_feroz.webp,"Feroz, malo, astuto.",,"Hermoso, bueno, amable.",,"Delgado, bonito, dulce.",,"Flojo, lento, tonto.",,"Feroz, malo, astuto."
4°,Lenguaje,"En la frase: “María habló suavemente”, ¿cuál es el adverbio?",,María.,,Habló.,,Suavemente.,,Ninguno.,,Suavemente.
4°,Lenguaje,"Identifica el verbo en la oración: “La maestra explicó la lección”.",img/teacher.webp,Maestra.,,Explicó.,,Lección.,,La.,,Explicó.
4°,Lenguaje,"Observa la imagen y elige la frase adjetiva.","img/paseo_perro.webp","Un hombre pasea un perro.",,"Un perro es paseado por un hombre.",,"Un hombre muy alto y delgado pasea con un peludo y bonito perro.",,"Un hombre anda paseando con un perro.",,"Un hombre muy alto y delgado pasea con un peludo y bonito perro."
4°,Lenguaje,"Selecciona el sinónimo de la palabra “contento”.",,Aburrido.,,Feliz.,,Cansado.,,Serio.,,Feliz.
4°,Lenguaje,"Señala cuál es el juego de palabras en la siguiente adivinanza: “Es la reina de los mares; su dentadura es muy buena, por no ir nunca vacía, siempre dicen que va llena.”",img/ballena.webp,"Es la reina de los mares.",,"Su dentadura es muy buena.",,"Ir nunca vacía.",,"Dicen que va llena.",,"Dicen que va llena."
4°,Lenguaje,"Señala cuál es la metáfora en la siguiente adivinanza: “Soy pequeño y blandito. Despacito siempre ando y mi casa traigo cargando.”",img/caracol.webp,"Pequeño y blandito.",,"Despacito siempre ando.",,"Mi casa traigo cargando.",,"Ninguna de las anteriores.",,"Mi casa traigo cargando."
4°,Lenguaje,"Son ejemplos de verbos en infinitivo.",,"Cocer, hervir, moler.",,"Cuece, hierve, muele.",,"Cocerá, hervirá, molerá.",,"Coció, hirvió, molió.",,"Cocer, hervir, moler."
4°,Lenguaje,"¿Cuál es el antónimo de “oscuro”?",,Brillante.,,Veloz.,,Luz.,,Claro.,,Claro.
4°,Lenguaje,"¿Cuál es el propósito de un anuncio publicitario?",img/publicidad.webp,Informar.,,Convencer.,,Describir.,,Narrar.,,Convencer.
4°,Lenguaje,"¿Cuál es el sujeto de la oración: “El perro de mi vecino ladra todas las noches”?",img/perro_ladra.webp,"El perro de mi vecino.",,"Ladra.",,"Todas las noches.",,"Vecino.",,"El perro de mi vecino."
4°,Lenguaje,"¿Cuál es la oración en tiempo futuro?",,"Ayer fui al parque.",,"Voy al parque.",,"Mañana iré al parque.",,"Voy a ir al parque hoy.",,"Mañana iré al parque."
4°,Lenguaje,"¿Cuál opción es una oración exclamativa?",img/emocion.webp,"¿Dónde estás?",,"¡Qué día tan hermoso!",,"Hoy es miércoles.",,"El perro duerme.",,"¡Qué día tan hermoso!"
4°,Lenguaje,"¿En cuál oración hay una comparación (símil)?",,"Es fuerte como un león.",,"El león es fuerte.",,"El niño corre rápido.",,"La casa es pequeña.",,"Es fuerte como un león."
4°,Lenguaje,"¿Qué parte de la oración indica quién realiza la acción?",,"Predicado.",,"Sujeto.",,"Verbo.",,"Adjetivo.",,"Sujeto."
4°,Lenguaje,"¿Qué se describe en el siguiente texto? Campo con árboles, tenebroso y oscuro, camino con piedras, lugar peligroso, a lo lejos se observa una pequena casa junto a un gran árbol donde cuelga un columpio roto.",,Una pelicula de terror.,,El escenario de un cuento.,,El camino a la escuela.,,La casa de la maestra de cuarto grado.,,Una pelicula de terror.
4°,Lenguaje,"¿Qué signo de puntuación se usa para expresar sorpresa?",,"El punto final.",,"La coma.",,"El signo de exclamación.",,"El signo de interrogación.",,"El signo de exclamación."
4°,Lenguaje,"¿Qué texto utiliza viñetas o cuadros para narrar una historia?",img/comic.webp,"Cuento.",,"Cómic.",,"Biografía.",,"Poema.",,"Cómic."
4°,Lenguaje,"¿Qué tipo de discurso se emplea en el siguiente texto?",img/caperucita.webp,Discurso indirecto.,,Discurso directo.,,Ninguno de los dos.,,Ambos discursos.,,Discurso directo.
4°,Lenguaje,"¿Qué tipo de discurso se emplea en el siguiente texto?",img/resistol.webp,Discurso indirecto.,,Discurso directo.,,Ninguno de los dos.,,Ambos discursos.,,Discurso indirecto.
4°,Lenguaje,"¿Qué tipo de palabra es “rápidamente”?",,Adjetivo.,,Sustantivo.,,Verbo.,,Adverbio.,,Adverbio.
4°,Lenguaje,"¿Qué tipo de preguntas se pueden realizar en una encuesta?",,"Preguntas personales.",,"Preguntas abiertas y cerradas.",,"Preguntas incómodas.",,"Preguntas públicas.",,"Preguntas abiertas y cerradas."
4°,Lenguaje,"¿Qué tipo de texto contiene personajes, trama y un conflicto?",img/cuento.webp,"Una receta.",,"Un cuento.",,"Un instructivo.",,"Un afiche.",,"Un cuento."
4°,Lenguaje,"¿Qué tipo de texto describe un paso a paso para realizar algo?",img/instructivo.webp,"Cuento.",,"Receta o instructivo.",,"Leyenda.",,"Biografía.",,"Receta o instructivo."
4°,Lenguaje,"¿Qué tipo de texto es el siguiente?",img/biografia.webp,"Un cuento.",,"Un relato autobiográfico.",,"Un reportaje.",,"Un artículo de divulgación científica.",,"Un relato autobiográfico."
4°,Lenguaje,Son diferentes tipos de adverbios,,"Cortos, largos, medianos.",,"Personales, impersonales, propios.",,"De tiempo, de modo, de lugar.",,"Dónde, cuándo, cómo.",,"De tiempo, de modo, de lugar."
4°,Lenguaje,¿En qué tiempo verbal están las palabras resaltadas del texto?,img/daniel.webp,Pasado.,,Presente.,,Futuro.,,Ninguno,,Pasado.
4°,Lenguaje,¿En qué tiempo verbal están las palabras subrayadas del texto?,img/daniel.webp,Pasado.,,Presente.,,Futuro.,,Ninguno,,Presente.
4°,Matemáticas,"En la tienda de Don Pepe venden el jugo de naranja en estos envases: Elige la opción que representa 2 litros y 1/2 de jugo.",img/botellas_jugo.webp,4 envases de 1/2 y 2 envases de 1/4,img/botellas_jugo_a.webp,2 envases de 1/2 y 4 envases de 1/4,img/botellas_jugo_b.webp,3 envases de 1/2 y 3 envases de 1/4,img/botellas_jugo_c.webp,4 envases de 1/2 y 1 envase de 1/4,img/botellas_jugo_d.webp,4 envases de 1/2 y 2 envases de 1/4
4°,Matemáticas,"En una plantación de 80 árboles de manzana, cada árbol tiene 4 manzanas. ¿Cuántas manzanas hay en total?",,320 manzanas,,220 manzanas,,230 manzanas,,310 manzanas,,320 manzanas
4°,Matemáticas,"Lorena compró la cachucha y los zapatos, Cuánto pagó?",img/productos2.webp,$96,,$100,,$78,,$87,,$96
4°,Matemáticas,"Lorena tenía $150, ¿Cuánto le sobra si pagó $96?",img/productos2.webp,$65,,$54,,$36,,$45,,$54
4°,Matemáticas,"Miguel compró una camisa y los pantalones, Cuánto pagó?",img/productos2.webp,$120,,$93,,$121,,$210,,$93
4°,Matemáticas,"Miguel pagó con un billete de $100, ¿Cuánto le sobra si gastó $93?",img/productos2.webp,$7,,$93,,$17,,$70,,$7
4°,Matemáticas,"¿Qué tipo de ángulo es este?",img/angulo1.webp,recto,,llano,,agudo,,obtuso,,recto
4°,Matemáticas,"¿Qué tipo de ángulo es este?",img/angulo2.webp,recto,,llano,,agudo,,obtuso,,llano
4°,Matemáticas,"¿Qué tipo de ángulo es este?",img/angulo3.webp,recto,,llano,,agudo,,obtuso,,agudo
4°,Matemáticas,"¿Qué tipo de ángulo es este?",img/angulo4.webp,recto,,llano,,agudo,,obtuso,,obtuso
4°,Matemáticas,Don Manuel tiene 120 pesos y los quiere repartir entre sus 6 sobrinos. ¿Cuanto le toca a cada uno?,,15 pesos.,,40 pesos.,,20 pesos.,,30 pesos.,,20 pesos.
4°,Matemáticas,En un campo hay 10 filas de arboles de manzana. Cada fila tiene 8 arboles. ¿Cuantos arboles hay en total?,,18 árboles.,,80 arboles.,,180 arboles.,,10 arboles.,,80 arboles.
4°,Matemáticas,Mariana tiene ahorrado 500 dólares y los quiere repartir entre sus 4 hijos. ¿Cuánto le toca a cada uno?,img/alcancia.webp,180,,125,,150,,200,,125
4°,Matemáticas,¿Cuál es la regularidad de la siguiente sucesión numérica?,img/secuencia_numerica.webp,Incrementa de 50 en 50,,Disminuye de 100 en 100,,Disminuye de 50 en 50,,Incrementa de 100 en 100,,Incrementa de 100 en 100
4°,Matemáticas,¿Qué dominó completa la siguiente sucesión de dominós?,img/domino.webp,Dominó A,img/domino_a.webp,Dominó B,img/domino_b.webp,Dominó C,img/domino_c.webp,Dominó D,img/domino_d.webp,Dominó A
4°,Matemáticas,¿Qué fracción representa la parte sombreada de la siguiente figura?,img/cuadricula.webp,3/5 (tres quintos),,3/8 (tres octavos),,8/4 (ocho cuartos),,9/5 (nueve quintos),,3/5 (tres quintos)
4°,Matemáticas,¿Qué fracción representa la parte sombreada de la siguiente figura?,img/fraccion1.webp,1/4,,1/2,,2/3,,4/5,,1/2
4°,Matemáticas,¿Qué fracción representa la parte sombreada de la siguiente figura?,img/fraccion2.webp,1/3,,2/3,,3/6,,1/8,,1/3
4°,Matemáticas,¿Qué fracción representa la parte sombreada de la siguiente figura?,img/fraccion3.webp,1/2,,5/6,,3/8,,3/4,,3/4
4°,Matemáticas,¿Qué fracción representa la parte sombreada de la siguiente figura?,img/fraccion4.webp,5/6,,1/4,,4/5,,3/2,,4/5
4°,Matemáticas,¿Qué fracción representa la parte sombreada de la siguiente figura?,img/fraccion5.webp,1/6,,5/6,,2/3,,4/6,,5/6
4°,Matemáticas,¿Qué número falta en la siguiente sucesión?,img/secuencia_numerica2.webp,1283,,1383,,1574,,1673,,1673
4°,Matemáticas,¿Qué polígono completa la siguiente sucesión?,img/poligonos.webp,Polígono A,img/poligono_a.webp,Polígono B,img/poligono_b.webp,Polígono C,img/poligono_c.webp,Polígono D,img/poligono_d.webp,Polígono B
5°,Inglés,"¿Cuál es el comparativo de “tall”?",img/tall.webp,Taller,,More tall,,Tallest,,Taller than,,Taller
5°,Inglés,"¿Cuál es el pasado de “eat”?",img/eat.webp,Ate,,Eated,,Eaten,,Eat,,Ate
5°,Inglés,"¿Cuál es el pasado de “play”?",img/play.webp,Played,,Plaid,,Playes,,Playen,,Played
5°,Inglés,"¿Cuál es el plural correcto de “child”?",img/children.webp,Children,,Childs,,Childes,,Childrens,,Children
5°,Inglés,"¿Cuál es el sinónimo de “big”?",Large,,Tiny,,Short,,Thin,,Large
5°,Inglés,"¿Cuál es la forma correcta?",img/house_big.webp,My house is bigger than yours.,,My house is more big than yours.,,My house bigger than yours.,,My house is big than yours,,My house is bigger than yours.
5°,Inglés,"¿Cuál es la forma negativa de “They are happy”?",img/happy2.webp,They are not happy,,They not happy,,They aren’t happy.,,They don’t are happy,,They aren’t happy.
5°,Inglés,"¿Cuál es la palabra en Inglés para “descansar”?",img/rest.webp,Rest,,Sleep,,Stop,,Stay,,Rest
5°,Inglés,"¿Cuál es la palabra en Inglés para “montaña”?",img/mountain.webp,Mountain,,River,,Forest,,Beach,,Mountain
5°,Inglés,"¿Cuál es la palabra en Inglés para “pintar”?",img/paint.webp,Paint,,Draw,,Write,,Make,,Paint
5°,Inglés,"¿Cuál es la pregunta correcta para pedir la hora?",img/clock.webp,What time is it?,,What is the time?,,Where is the time?,,What time you have?,,What time is it?
5°,Inglés,"¿Cuál es la traducción correcta de “My brother is older than me”?",img/brother.webp,Mi hermano es mayor que yo,,Mi hermano es menor que yo,,Mi hermano es más grande que yo,,Mi hermano es más viejo,,Mi hermano es mayor que yo
5°,Inglés,"¿Cuál es la traducción correcta de “She doesn’t like chocolate”?",img/chocolate.webp,Ella no likes chocolate,,Ella no le gusta el chocolate,,Ella no gusta chocolate,,Ella no es chocolate,,Ella no le gusta el chocolate
5°,Inglés,"¿Cuál es la traducción de “I visited my grandparents”?",img/grandparents.webp,Visité a mis abuelos,,Visito a mis abuelos,,Visitaré a mis abuelos,,Veo a mis abuelos,,Visité a mis abuelos
5°,Inglés,"¿Cuál es la traducción de “I will study tomorrow”?",img/study.webp,Estudié mañana,,Voy a estudiar mañana,,Estudio mañana,,Estudiaré ayer,,Voy a estudiar mañana
5°,Inglés,"¿Cuál es la traducción de “She can swim”?",img/swim.webp,Ella puede nadar,,Ella quiere nadar,,Ella debe nadar,,Ella no puede nadar,,Ella puede nadar
5°,Inglés,"¿Cuál es la traducción de “They were tired”?",img/tired.webp,Eran cansados,,Estaban cansados,,Fueron cansados,,Están cansados,,Estaban cansados
5°,Inglés,"¿Cuál opción es correcta?",img/park.webp,We played in the park.,,We play in the park yesterday.,,We plays in the park.,,We playing in the park.,,We played in the park.
5°,Inglés,"¿Cuál oración está correctamente escrita?",img/school.webp,They go to school every day.,,They goes to school every day.,,They go to school every days.,,They going to school.,,They go to school every day.
5°,Inglés,"¿Cómo se dice “medio día” en Inglés?",,Noon,,Night,,Morning,,Dawn,,Noon
5°,Inglés,"¿Cómo se dice “semana” en Inglés?",img/week.webp,Week,,Weekend,,Weak,,Weeks,,Week
